Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Education_Level_ord,Income_Category_ord,Card_Category_ord,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Gender_F,Gender_M,Attrition_Flag
0.081842,1.266156,0.009171,-0.528178,-1.329695,-1.315907,-0.773267,-1.422579,0.128961,0.381444,0.689073,0.364120,-0.994459,-0.509916,-0.056502,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
-0.292947,-0.274879,-0.116112,-0.528178,0.655718,0.489370,2.852030,-1.422579,0.033487,-0.640254,-0.885866,-0.340624,-0.994459,-0.509916,-1.410712,5.631269,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000
-0.292947,1.266156,0.134453,-0.528178,-0.336988,-0.413268,0.239217,0.947532,-0.043801,-0.988123,-2.077711,2.378857,-0.345270,0.159153,-0.733607,2.692095,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.206772,1.266156,0.760865,0.757509,1.648425,0.489370,-0.521853,0.068258,0.747264,0.227494,0.603941,-0.129201,0.140715,-0.509916,0.620603,-0.247078,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.581562,-1.815914,1.136712,-0.528178,-0.336988,0.489370,0.223580,1.668390,-0.234747,0.159992,1.029600,1.102028,-0.138545,-0.509916,1.297708,-0.247078,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000
2.705369,-1.045397,2.514818,0.757509,-0.336988,0.489370,0.577299,0.606138,2.252104,-0.734104,-1.396657,4.961535,-0.562875,0.828221,-1.410712,-0.247078,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.456632,-1.045397,0.009171,0.757509,-0.336988,-1.315907,-0.709174,0.703153,-0.348406,-0.033926,0.263414,-0.091891,1.888810,-1.178984,-0.733607,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
-0.168018,2.036673,0.259736,0.757509,-1.329695,1.392009,0.040223,-1.422579,-0.212015,3.189560,2.519407,0.140260,-0.994459,0.828221,0.620603,-0.247078,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
-1.042527,-0.274879,-0.867806,-1.171021,-1.329695,-2.218545,-0.529561,0.016680,0.638151,-0.022380,0.689073,1.093737,0.122581,0.159153,-1.410712,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
-0.792667,1.266156,0.009171,0.114666,-1.329695,-0.413268,-0.392236,-0.112264,-0.048347,3.415452,2.221445,-0.800780,-0.229214,-1.178984,-0.733607,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.456632,-1.045397,0.009171,1.400353,0.655718,1.392009,0.147704,-0.253488,0.297175,1.752787,-0.077114,1.607785,-0.646291,-1.178984,1.297708,-0.247078,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000
1.705930,-1.045397,0.009171,-0.528178,1.648425,0.489370,-0.731309,-0.753299,0.642698,0.001009,0.305980,0.969370,0.006525,0.828221,-0.733607,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
-0.917597,0.495638,-0.617241,1.400353,-0.336988,1.392009,-0.020236,1.306119,-0.312035,-0.880949,-1.609486,0.898896,-0.040623,0.828221,1.297708,-0.247078,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000
0.956351,2.036673,0.009171,0.757509,3.633838,-1.315907,-0.650808,0.561929,-0.412055,-0.045176,0.944468,-0.025562,1.170713,-1.178984,-0.733607,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1.081281,1.266156,1.512559,-1.171021,-0.336988,0.489370,1.141137,1.668390,-0.475704,1.156229,2.051182,-0.104328,-0.512101,-1.178984,0.620603,-0.247078,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000
0.206772,0.495638,0.009171,-0.528178,-1.329695,-0.413268,0.019519,0.195974,-0.893967,0.086274,0.391111,-0.125055,-0.450446,0.159153,-0.733607,-0.247078,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
-0.043088,-0.274879,0.259736,0.114666,0.655718,0.489370,-0.678450,-0.131912,1.010952,-0.335610,0.263414,0.857440,0.557792,0.828221,-0.056502,-0.247078,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
-0.667737,0.495638,-0.617241,0.114666,-0.336988,-0.413268,-0.427035,0.232815,-1.307685,-0.883318,-1.779750,-0.742742,0.035539,-1.178984,1.297708,-0.247078,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
1.581000,-1.045397,1.888406,-1.813865,1.648425,1.392009,-0.480226,1.668390,-0.257479,-0.462323,-0.630470,1.537311,1.148953,0.828221,-0.733607,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
-1.167456,0.495638,-1.494218,-1.171021,-1.329695,1.392009,-0.640457,1.598392,1.224630,-0.883318,-1.566920,-2.633114,2.189831,0.828221,-0.733607,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
1.331141,-1.045397,1.387277,0.757509,0.655718,-1.315907,0.660113,1.004022,4.584380,-0.758677,-1.737184,9.484331,-0.504847,0.828221,1.297708,-0.247078,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
1.581000,-1.815914,0.385018,1.400353,0.655718,1.392009,-0.682855,0.949988,1.292825,-0.598806,-0.630470,0.306082,1.903317,-1.178984,-0.733607,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
-1.417316,-1.045397,-1.619500,0.114666,0.655718,0.489370,-0.658297,-0.131912,0.333546,-0.377058,0.646507,-0.464990,0.448989,0.828221,-0.733607,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
-0.542807,2.036673,-0.241394,-0.528178,0.655718,0.489370,0.219065,1.668390,1.988416,-0.736177,-1.056129,-0.722015,-0.134918,0.828221,0.620603,-0.247078,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.831421,0.495638,1.136712,0.757509,-1.329695,0.489370,-0.674265,0.240183,-0.621187,-0.911443,-1.439223,-0.979039,0.974868,-0.509916,-1.410712,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
-1.042527,0.495638,-0.491959,0.757509,-1.329695,-2.218545,2.018278,-0.529796,-0.330220,-0.832100,-1.056129,-0.464990,-0.896537,-1.178984,-1.410712,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
0.456632,-1.045397,0.009171,0.114666,-0.336988,0.489370,-0.790633,-1.422579,0.415380,0.111143,0.263414,1.558038,-0.994459,0.828221,-0.733607,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
-0.542807,0.495638,0.009171,-1.171021,0.655718,0.489370,-0.712808,-1.422579,-0.830319,-0.569792,-0.970998,-1.480650,-0.994459,-0.509916,-0.733607,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
-0.168018,0.495638,-0.366676,-0.528178,0.655718,-0.413268,0.149686,1.141562,-0.498435,-0.254490,-0.162245,0.127823,-0.236467,-0.509916,-0.733607,-0.247078,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.581562,-0.274879,0.009171,-0.528178,-0.336988,-0.413268,0.144510,-1.422579,-0.130181,-0.921806,-1.864882,2.573698,-0.994459,-0.509916,-0.733607,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
0.456632,-0.274879,0.259736,0.757509,0.655718,0.489370,-0.423511,0.751046,-0.975802,-0.099355,0.305980,-0.158220,0.351067,0.828221,0.620603,-0.247078,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000
0.081842,-1.045397,0.009171,-1.171021,-1.329695,0.489370,-0.632528,1.280330,-0.189284,0.115288,0.901902,0.330955,1.783635,-0.509916,-1.410712,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
-0.292947,1.266156,0.259736,1.400353,-1.329695,-0.413268,-0.358098,-0.233839,1.056415,0.049859,-0.375075,0.156842,-0.341643,-1.178984,-1.410712,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
-0.043088,-0.274879,0.009171,-1.171021,0.655718,-0.413268,-0.501369,1.668390,0.897293,-0.441303,-0.587904,0.451176,1.250502,-1.178984,-0.733607,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
-0.792667,-0.274879,-0.491959,-1.813865,0.655718,-0.413268,-0.115824,0.564385,-0.180191,0.941587,0.987034,-0.697141,-0.218334,-0.509916,-0.056502,-0.247078,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.581562,-1.815914,0.009171,-0.528178,-0.336988,-1.315907,-0.658627,-0.183490,-0.843958,0.040089,0.774205,0.069786,0.394588,2.166358,-0.056502,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
0.456632,1.266156,0.510300,0.114666,-1.329695,0.489370,-0.694087,0.218078,0.051673,-0.073006,0.008018,-0.187239,1.098178,-1.178984,-1.410712,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.581562,0.495638,0.259736,0.757509,0.655718,-1.315907,-0.339376,-1.422579,-0.293850,-0.032150,0.731639,0.455322,-0.994459,-0.509916,-0.056502,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
-0.542807,0.495638,-0.742523,1.400353,0.655718,-0.413268,-0.351710,0.802624,-1.121285,-0.815817,-0.885866,0.198298,0.216877,0.159153,-0.056502,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
-0.043088,0.495638,0.259736,-1.813865,-1.329695,0.489370,-0.753665,-0.053318,-0.334767,-0.271069,-0.204811,-0.187239,1.286769,0.159153,-0.733607,-0.247078,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
-1.042527,-1.045397,-0.617241,1.400353,0.655718,0.489370,-0.125845,0.386319,0.069858,-0.828251,-1.481789,-1.173880,-0.279988,0.828221,0.620603,-0.247078,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
1.331141,-0.274879,0.009171,0.757509,-1.329695,0.489370,-0.790633,-1.422579,-0.884875,-0.160343,0.433677,-0.029708,-0.994459,0.828221,-0.733607,-0.247078,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
-0.917597,-1.045397,-0.993088,0.114666,-0.336988,1.392009,-0.582641,-1.422579,1.497411,-0.806639,-1.226393,-0.315751,-0.994459,-0.509916,1.297708,-0.247078,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
1.331141,0.495638,2.013689,0.757509,2.641131,-2.218545,-0.609291,-1.422579,-0.184737,-0.131329,0.348545,0.467758,-0.994459,0.828221,-0.733607,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
-0.792667,0.495638,-0.617241,-1.813865,0.655718,-0.413268,0.008397,-0.050862,0.374463,1.519789,1.710655,-0.075309,-0.530234,0.828221,-0.733607,-0.247078,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
-0.917597,-0.274879,-0.116112,0.114666,0.655718,-0.413268,-0.133003,1.668390,5.293610,-0.589628,-1.183827,1.922847,0.238637,0.159153,0.620603,-0.247078,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
-0.667737,1.266156,-0.617241,0.757509,-1.329695,-0.413268,-0.674815,-0.652600,-1.885071,-0.887759,-0.843300,-1.443340,-0.080517,-1.178984,-0.733607,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
0.331702,0.495638,-0.366676,0.757509,0.655718,-0.413268,0.151668,0.681048,0.910932,-0.952596,-1.141261,-1.037076,-0.374284,0.828221,-0.056502,-0.247078,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
